var2,var3,var4
0.83,0.36,NA
1.02,0.5,NA
1.02,0.5,NA
1.02,0.5,NA
1.02,0.5,NA
1.3,0.64,NA
1.3,0.64,NA
1.3,0.64,NA
1.3,0.64,NA
1.06,0.47,NA
1.06,0.47,NA
1.06,0.47,NA
1.06,0.47,NA
1.06,0.47,NA
1.06,0.47,NA
1.06,0.47,NA
1.06,0.47,NA
1.06,0.47,NA
1.06,0.47,NA
0.65,0.28,NA
0.65,0.34,NA
0.65,0.34,NA
0.65,0.34,NA
0.65,0.34,NA
1.1,0.45,NA
1.1,0.45,NA
1.1,0.45,NA
1.1,0.45,NA
1.09,0.55,NA
1.09,0.55,NA
1.09,0.55,NA
1.09,0.55,NA
1.24,0.48,NA
1.24,0.48,NA
1.24,0.48,NA
1.24,0.48,NA
0.91,0.48,NA
0.91,0.48,NA
0.91,0.48,NA
0.91,0.48,NA
1,0.63,NA
1,0.63,NA
1,0.63,NA
1,0.63,NA
1.09,0.39,NA
1.09,0.39,NA
1.09,0.39,NA
1.09,0.39,NA
0.77,0.41,NA
0.77,0.41,NA
0.77,0.41,NA
0.77,0.41,NA
1.52,0.74,NA
1.52,0.74,NA
1.52,0.74,NA
1.52,0.74,NA
0.95,0.45,NA
0.95,0.45,NA
0.95,0.45,NA
0.95,0.45,NA
1.58,0.86,NA
1.58,0.86,NA
1.58,0.86,NA
1.58,0.86,NA
1.3,0.76,NA
1.3,0.76,NA
1.3,0.76,NA
1.3,0.76,NA
0.91,0.39,NA
0.91,0.39,NA
0.91,0.39,NA
0.91,0.39,NA
1,0.41,NA
1,0.41,NA
1,0.41,NA
1,0.41,NA
1.09,0.47,NA
1.09,0.47,NA
1.09,0.47,NA
1.09,0.47,NA
0.9,0.55,NA
0.9,0.55,NA
0.9,0.55,NA
0.9,0.55,NA
0.9,0.55,NA
0.9,0.55,NA
0.9,0.55,NA
0.9,0.55,NA
0.89,0.41,NA
0.89,0.41,NA
0.89,0.41,NA
0.89,0.41,NA
0.81,0.41,NA
0.81,0.41,NA
0.81,0.41,NA
0.81,0.41,NA
0.8,0.48,NA
0.8,0.48,NA
0.8,0.48,NA
0.8,0.48,NA
0.8,0.48,NA
0.54,0.25,NA
0.54,0.25,NA
0.54,0.25,NA
0.54,0.25,NA
1.28,0.36,NA
1.28,0.36,NA
1.28,0.36,NA
1.28,0.36,NA
0.84,0.51,NA
0.84,0.51,NA
0.84,0.51,NA
0.84,0.51,NA
0.78,0.4,NA
0.78,0.4,NA
0.78,0.4,NA
0.78,0.4,NA
0.92,0.46,NA
0.92,0.46,NA
0.92,0.46,NA
0.92,0.46,NA
0.72,0.33,NA
0.72,0.33,NA
0.72,0.33,NA
0.72,0.33,NA
1.71,0.92,NA
1.71,0.92,NA
1.71,0.92,NA
1.71,0.92,NA
0.58,0.26,NA
0.58,0.26,NA
0.58,0.26,NA
0.58,0.26,NA
0.98,0.42,NA
0.98,0.42,NA
0.98,0.42,NA
0.98,0.42,NA
0.6,0.51,NA
0.6,0.51,NA
0.6,0.51,NA
0.6,0.51,NA
0.83,0.58,NA
0.83,0.58,NA
0.83,0.58,NA
0.83,0.58,NA
0.83,0.58,NA
0.75,0.32,NA
0.75,0.32,NA
0.75,0.32,NA
0.75,0.32,NA
1,0.42,NA
1,0.42,NA
1,0.42,NA
1,0.42,NA
1.21,0.43,NA
1.21,0.43,NA
1.21,0.43,NA
1.21,0.43,NA
1.27,0.64,NA
1.27,0.64,NA
1.27,0.64,NA
1.27,0.64,NA
1.35,0.61,NA
1.35,0.61,NA
1.35,0.61,NA
1.35,0.61,NA
1.71,0.61,NA
1.71,0.61,NA
1.71,0.61,NA
1.71,0.61,NA
1.58,0.53,NA
1.58,0.53,NA
1.58,0.53,NA
1.58,0.53,NA
1.96,0.5,NA
1.96,0.5,NA
1.96,0.5,NA
1.96,0.5,NA
1.96,0.5,NA
0.8,0.48,NA
0.8,0.48,NA
0.8,0.48,NA
0.8,0.48,NA
1.68,0.48,NA
1.68,0.48,NA
1.68,0.48,NA
1.68,0.48,NA
1.75,0.52,NA
1.75,0.52,NA
1.75,0.52,NA
1.75,0.52,NA
1,0.46,NA
1,0.46,NA
1,0.46,NA
1,0.46,NA
0.92,0.44,NA
0.92,0.44,NA
0.92,0.44,NA
0.92,0.44,NA
1.7,1.15,NA
1.7,1.15,NA
1.7,1.15,NA
1.7,1.15,NA
0.8,0.38,NA
